Rosalind_1957 Rosalind_5664
Rosalind_7620 Rosalind_5959
Rosalind_7620 Rosalind_7059
Rosalind_7034 Rosalind_9922
Rosalind_7034 Rosalind_1499
Rosalind_6082 Rosalind_7600
Rosalind_6082 Rosalind_4169
Rosalind_3748 Rosalind_2493
Rosalind_3748 Rosalind_8536
Rosalind_3748 Rosalind_6307
Rosalind_6327 Rosalind_2233
Rosalind_6327 Rosalind_5517
Rosalind_6327 Rosalind_3420
Rosalind_6327 Rosalind_8374
Rosalind_3030 Rosalind_3377
Rosalind_2493 Rosalind_8810
Rosalind_8604 Rosalind_6177
Rosalind_0790 Rosalind_3377
Rosalind_2564 Rosalind_8910
Rosalind_2564 Rosalind_4772
Rosalind_2564 Rosalind_4293
Rosalind_7960 Rosalind_9922
Rosalind_7960 Rosalind_1499
Rosalind_9293 Rosalind_7565
Rosalind_6923 Rosalind_8468
Rosalind_6923 Rosalind_6532
Rosalind_6923 Rosalind_9808
Rosalind_6923 Rosalind_5350
Rosalind_9622 Rosalind_3030
Rosalind_9622 Rosalind_6269
Rosalind_7600 Rosalind_3377
Rosalind_4025 Rosalind_3748
Rosalind_4025 Rosalind_0150
Rosalind_4025 Rosalind_4104
Rosalind_2974 Rosalind_8422
Rosalind_2974 Rosalind_2253
Rosalind_7290 Rosalind_8910
Rosalind_7290 Rosalind_4772
Rosalind_7290 Rosalind_4293
Rosalind_5396 Rosalind_3824
Rosalind_5396 Rosalind_1654
Rosalind_7059 Rosalind_9275
Rosalind_7059 Rosalind_7242
Rosalind_2188 Rosalind_2233
Rosalind_2188 Rosalind_5517
Rosalind_2188 Rosalind_3420
Rosalind_2188 Rosalind_8374
Rosalind_2479 Rosalind_9293
Rosalind_6936 Rosalind_8604
Rosalind_6936 Rosalind_2564
Rosalind_6936 Rosalind_2946
Rosalind_3881 Rosalind_5396
Rosalind_3881 Rosalind_6936
Rosalind_3881 Rosalind_5146
Rosalind_1869 Rosalind_7869
Rosalind_5812 Rosalind_3899
Rosalind_7344 Rosalind_6146
Rosalind_5800 Rosalind_7600
Rosalind_5800 Rosalind_4169
Rosalind_5146 Rosalind_8098
Rosalind_0272 Rosalind_9792
Rosalind_0272 Rosalind_7314
Rosalind_2946 Rosalind_9293
Rosalind_5664 Rosalind_7290
Rosalind_5664 Rosalind_1872
Rosalind_9832 Rosalind_7290
Rosalind_9832 Rosalind_1872
Rosalind_2698 Rosalind_3384
Rosalind_2698 Rosalind_3926
Rosalind_2698 Rosalind_0445
Rosalind_3067 Rosalind_7565
Rosalind_1872 Rosalind_6493
Rosalind_9039 Rosalind_3824
Rosalind_9039 Rosalind_1654
Rosalind_6044 Rosalind_8422
Rosalind_6044 Rosalind_2253
Rosalind_8300 Rosalind_6493
Rosalind_3377 Rosalind_8910
Rosalind_3377 Rosalind_4772
Rosalind_3377 Rosalind_4293
Rosalind_9808 Rosalind_8604
Rosalind_9808 Rosalind_2564
Rosalind_9808 Rosalind_2946
Rosalind_3824 Rosalind_8810
Rosalind_1499 Rosalind_9275
Rosalind_1499 Rosalind_7242
Rosalind_4169 Rosalind_4148
Rosalind_4169 Rosalind_2479
Rosalind_4169 Rosalind_6044
Rosalind_3384 Rosalind_3030
Rosalind_3384 Rosalind_6269
Rosalind_1654 Rosalind_5396
Rosalind_1654 Rosalind_6936
Rosalind_1654 Rosalind_5146
Rosalind_8536 Rosalind_6327
Rosalind_8536 Rosalind_9832
Rosalind_8536 Rosalind_8300
Rosalind_5517 Rosalind_3748
Rosalind_5517 Rosalind_0150
Rosalind_5517 Rosalind_4104
Rosalind_9792 Rosalind_6327
Rosalind_9792 Rosalind_9832
Rosalind_9792 Rosalind_8300
Rosalind_3899 Rosalind_3377
Rosalind_4772 Rosalind_4885
Rosalind_4772 Rosalind_7021
Rosalind_8810 Rosalind_6082
Rosalind_8810 Rosalind_1188
Rosalind_8422 Rosalind_1869
Rosalind_8325 Rosalind_2974
Rosalind_8325 Rosalind_0272
Rosalind_9275 Rosalind_6146
Rosalind_8003 Rosalind_4885
Rosalind_8003 Rosalind_7021
Rosalind_4104 Rosalind_0790
Rosalind_3926 Rosalind_3030
Rosalind_3926 Rosalind_6269
Rosalind_0445 Rosalind_6177
Rosalind_3412 Rosalind_8098
Rosalind_5350 Rosalind_8003
Rosalind_7242 Rosalind_2493
Rosalind_7242 Rosalind_8536
Rosalind_7242 Rosalind_6307
Rosalind_6493 Rosalind_6146
Rosalind_7021 Rosalind_1869
Rosalind_3420 Rosalind_6082
Rosalind_3420 Rosalind_1188
Rosalind_8376 Rosalind_9622
Rosalind_6319 Rosalind_1957
Rosalind_6319 Rosalind_7620
Rosalind_4293 Rosalind_6177
Rosalind_3307 Rosalind_8910
Rosalind_3307 Rosalind_4772
Rosalind_3307 Rosalind_4293
Rosalind_7869 Rosalind_9275
Rosalind_7869 Rosalind_7242
Rosalind_2253 Rosalind_8810
Rosalind_5823 Rosalind_6177
Rosalind_7314 Rosalind_4025
Rosalind_7314 Rosalind_3067
